Germplasms	Grades	 MFV_GR	 MFV_GI	 MFV_GE	 MFV_RL	 MFV_GVI	 MFV_FW	 MFV_WC	Mean_MFV	STI_GR	STI_GI	STI_GE	STI_RL	STI_GVI	STI_FW	STI_WC	GR	GI	GE	RL	GVI	WC_C	WC_T	WCR	FW_C	DW_C	DvsF_C	FW_T	DW_T	DvsF_T	FWR	DWR
152097	SS	0.060606061	0.025158845	0	0.511992228	0.021409643	0	0	0.088452397	0.060606061	0.024570777	0	0.343994778	0.008452219	0	0	0.060606061	0.024570777	0	0.343994778	0.008452219	4.0334	0	NA	4.5872	0.5538	0.120727241	0	0	NA	0	0
152101	MST	0.727272727	0.517309172	0.161290323	0.261438514	0.224789022	0.535602754	0.455019377	0.411817413	0.727272727	0.505217464	0.151515152	0.175654001	0.088743469	0.643172861	0.73761247	0.727272727	0.505217464	0.151515152	0.175654001	0.088743469	4.7346	2.8212	1.678222033	5.4298	0.6952	0.128034182	3.4923	0.6711	0.192165622	0.643172861	0.965333717
152103	MST	0.415151515	0.306818866	0.107168459	0.445623158	0.227250667	0.565657832	0.507872737	0.367934748	0.415151515	0.299647209	0.100673401	0.299403059	0.089715291	0.679264181	0.823290794	0.415151515	0.299647209	0.100673401	0.299403059	0.089715291	3.3773	2.3141	1.459444276	4.0934	0.7161	0.174940148	2.7805	0.4664	0.167739615	0.679264181	0.651305684
152104	SS	0.127272727	0.081740339	0	0.467477275	0.063511489	0	0	0.105714547	0.127272727	0.079829721	0	0.314086294	0.025073421	0	0	0.127272727	0.079829721	0	0.314086294	0.025073421	3.2835	0	NA	3.7809	0.4974	0.131555979	0	0	NA	0	0
152106	MST	0.96969697	0.609966664	0	0.222295279	0.22536771	0.348877864	0.286171996	0.380339498	0.96969697	0.595709158	0	0.14935464	0.088971927	0.418946267	0.463901195	0.96969697	0.595709158	0	0.14935464	0.088971927	7.7648	2.8909	2.685945553	8.598	0.8332	0.096906257	3.6021	0.7112	0.197440382	0.418946267	0.853576572
152108	MST	0.515151515	0.266404536	0	0.216272767	0.095763234	0.213633924	0.174094483	0.211617209	0.515151515	0.260177533	0	0.145308266	0.037805946	0.256540022	0.282217128	0.515151515	0.260177533	0	0.145308266	0.037805946	9.7712	2.0279	4.818383549	10.7492	0.978	0.090983515	2.7576	0.7297	0.264614157	0.256540022	0.746114519
152109	MST	0.818181818	0.552554349	0.129032258	0.343525554	0.315492764	0.292902913	0.24798469	0.385667764	0.818181818	0.539638812	0.121212121	0.230806231	0.124552001	0.351729343	0.401997385	0.818181818	0.539638812	0.121212121	0.230806231	0.124552001	7.4197	2.3173	3.201872869	8.4801	1.0604	0.125045695	2.9827	0.6654	0.223086465	0.351729343	0.627499057
152113	MST	0.781818182	0.440128786	0.035483871	0.296466937	0.216875949	0.330963221	0.267943015	0.338525709	0.781818182	0.429841111	0.033333333	0.199188723	0.085619502	0.397433658	0.434350973	0.781818182	0.429841111	0.033333333	0.199188723	0.085619502	5.7617	2.0711	2.78195162	6.2969	0.5352	0.084994203	2.5026	0.4315	0.172420682	0.397433658	0.806240658
152114	MST	0.757575758	0.473145853	0.032258065	0.212492758	0.167106955	0.294219758	0.23984323	0.310948911	0.757575758	0.462086429	0.03030303	0.142768572	0.065971419	0.353310662	0.388799613	0.757575758	0.462086429	0.03030303	0.142768572	0.065971419	4.5427	1.289	3.52420481	4.999	0.4563	0.091278256	1.7662	0.4772	0.270184577	0.353310662	1.0458032
152118	ST	0.811447811	0.509980277	0.064516129	0.570471148	0.483551148	0.494339155	0.416090282	0.478627993	0.811447811	0.498059876	0.060606061	0.383285303	0.19089903	0.593621908	0.674506177	0.811447811	0.498059876	0.060606061	0.383285303	0.19089903	3.0274	1.6823	1.799560126	3.4399	0.4125	0.119916277	2.042	0.3597	0.176150833	0.593621908	0.872
152119	MST	0.636363636	0.370373536	0	0.206315189	0.127006662	0.305376905	0.252781252	0.271173883	0.636363636	0.361716337	0	0.138618017	0.050140401	0.366708603	0.409772887	0.636363636	0.361716337	0	0.138618017	0.050140401	4.1257	1.2942	3.187838047	4.6102	0.4845	0.105093055	1.6906	0.3964	0.234472968	0.366708603	0.818163055
152120	MST	0.303030303	0.18064222	0	0.227939502	0.068437512	0.131300039	0.111681137	0.146147245	0.303030303	0.176419846	0	0.153146853	0.027018144	0.157670253	0.181041519	0.303030303	0.176419846	0	0.153146853	0.027018144	3.6754	0.4477	8.2095153	4.2202	0.5448	0.129093408	0.6654	0.2177	0.327171626	0.157670253	0.399596182
152123	MST	0.848484848	0.507792689	0.064516129	0.156301976	0.13191867	0.21617419	0.184619312	0.301401116	0.848484848	0.495923422	0.060606061	0.10501539	0.052079592	0.259590474	0.299278479	0.848484848	0.495923422	0.060606061	0.10501539	0.052079592	5.5577	0.979	5.67691522	6.4074	0.8497	0.132612292	1.6633	0.6843	0.41141105	0.259590474	0.805343062
152124	SS	0.303030303	0.146935636	0	0.134029324	0.032732737	0.122394542	0.105925672	0.120721173	0.303030303	0.143501127	0	0.090050952	0.012922413	0.146976182	0.171711581	0.303030303	0.143501127	0	0.090050952	0.012922413	5.2396	0.5328	9.834084084	6.1214	0.8818	0.144052014	0.8997	0.3669	0.407802601	0.146976182	0.416080744
152125	MST	0.848484848	0.525742941	0.032258065	0.219986968	0.192232032	0.361245368	0.318146888	0.356871016	0.848484848	0.5134541	0.03030303	0.147803744	0.075890438	0.433797652	0.515734327	0.848484848	0.5134541	0.03030303	0.147803744	0.075890438	2.8441	0.9613	2.958597732	3.3813	0.5372	0.158873806	1.4668	0.5055	0.344627761	0.433797652	0.94099032
152126	SS	0.272727273	0.171553124	0	0.208485965	0.059447119	0.057322583	0.047461476	0.116713934	0.272727273	0.167543201	0	0.140076508	0.023468866	0.068835213	0.076937771	0.272727273	0.167543201	0	0.140076508	0.023468866	4.7116	0.2347	20.07498935	5.2662	0.5546	0.105313129	0.3625	0.1278	0.352551724	0.068835213	0.230436351
152128	MST	0.727272727	0.447502636	0	0.284092045	0.211305122	0.448844039	0.380772226	0.357112685	0.727272727	0.437042602	0	0.190874343	0.08342022	0.538989583	0.617253586	0.727272727	0.437042602	0	0.190874343	0.08342022	4.3504	2.0166	2.157294456	4.9821	0.6317	0.126793922	2.6853	0.6687	0.249022456	0.538989583	1.058572107
152131	MST	0.696969697	0.522181383	0.225806452	0.240033988	0.20832888	0.27257326	0.236806634	0.343242899	0.696969697	0.509975791	0.212121212	0.161272836	0.082245242	0.327316696	0.383877116	0.696969697	0.509975791	0.212121212	0.161272836	0.082245242	4.4074	1.0925	4.03423341	5.169	0.7616	0.147339911	1.6919	0.5994	0.354276257	0.327316696	0.787027311
152132	MST	0.545454545	0.342109012	0.032258065	0.281306027	0.1599554	0.189447834	0.166798816	0.245332814	0.545454545	0.334112475	0.03030303	0.189002487	0.063148089	0.227496414	0.270390434	0.545454545	0.334112475	0.03030303	0.189002487	0.063148089	4.6333	0.8247	5.618164181	5.5069	0.8736	0.158637346	1.2528	0.4281	0.341714559	0.227496414	0.490041209
152133	SS	0.248484848	0.161914441	0	0.373074799	0.100400726	0.035960121	0.031381658	0.135888085	0.248484848	0.158129815	0	0.250659631	0.039636761	0.043182328	0.050871465	0.248484848	0.158129815	0	0.250659631	0.039636761	4.1654	0.1312	31.74847561	4.9071	0.7417	0.151148336	0.2119	0.0807	0.380840019	0.043182328	0.108804099
152136	MST	0.575757576	0.401966051	0.1	0.277482109	0.185387187	0.124825515	0.105448586	0.252981004	0.575757576	0.392570401	0.093939394	0.186433292	0.073188192	0.14989539	0.170938197	0.575757576	0.392570401	0.093939394	0.186433292	0.073188192	5.1972	0.5717	9.090781879	5.9268	0.7296	0.123101842	0.8884	0.3167	0.356483566	0.14989539	0.434073465
152138	MST	0.757575758	0.450608314	0	0.308779806	0.231261556	0.295388634	0.240336074	0.326278592	0.757575758	0.440075688	0	0.207461432	0.091298732	0.354714294	0.38959854	0.757575758	0.440075688	0	0.207461432	0.091298732	4.6032	1.3408	3.433174224	5.0559	0.4527	0.089538954	1.7934	0.4526	0.2523698	0.354714294	0.999779103
152139	MST	0.872727273	0.520449041	0	0.258212258	0.223362582	0.500361102	0.424028726	0.399877283	0.872727273	0.508283941	0	0.173486361	0.088180331	0.600853298	0.68737485	0.872727273	0.508283941	0	0.173486361	0.088180331	3.9952	1.9114	2.090195668	4.5705	0.5753	0.125872443	2.7462	0.8348	0.303983687	0.600853298	1.451069007
152141	MST	0.545454545	0.36903439	0.096774194	0.520930233	0.319522728	0.189100979	0.159389966	0.314315291	0.545454545	0.360408493	0.090909091	0.35	0.126142972	0.227079896	0.258380263	0.545454545	0.360408493	0.090909091	0.35	0.126142972	3.729	0.7228	5.159103486	4.243	0.514	0.121140702	0.9635	0.2407	0.249818371	0.227079896	0.468287938
152142	MST	0.666666667	0.419352081	0	0.206511628	0.143939061	0.2435086	0.200570901	0.268649848	0.666666667	0.409550046	0	0.13875	0.056825069	0.292414708	0.325136917	0.666666667	0.409550046	0	0.13875	0.056825069	4.4735	1.0691	4.184360677	4.9741	0.5006	0.100641322	1.4545	0.3854	0.26497078	0.292414708	0.769876149
152146	MST	0.484848485	0.42465168	0.322580645	0.455266758	0.321332121	0.341818938	0.304254118	0.379250392	0.484848485	0.41472577	0.303030303	0.305882353	0.126857294	0.410469631	0.493213351	0.484848485	0.41472577	0.303030303	0.305882353	0.126857294	3.3227	1.2551	2.647358776	3.9925	0.6698	0.167764559	1.6388	0.3837	0.234134733	0.410469631	0.572857569
152150	MST	0.848484848	0.533720831	0	0.265719547	0.235718142	0.318997537	0.277009054	0.354235709	0.848484848	0.521245513	0	0.17853032	0.093058128	0.383064794	0.449047542	0.848484848	0.521245513	0	0.17853032	0.093058128	4.9556	1.5573	3.182174276	5.8092	0.8536	0.146939338	2.2253	0.668	0.300184245	0.383064794	0.782567948
152151	MST	0.666666667	0.389434994	0	0.214459086	0.138814482	0.246578892	0.207251702	0.26617226	0.666666667	0.380332248	0	0.144089698	0.054801959	0.296101635	0.335966878	0.666666667	0.380332248	0	0.144089698	0.054801959	5.2654	1.266	4.159083728	5.9743	0.7089	0.118658253	1.769	0.503	0.284341436	0.296101635	0.709550007
152153	MST	0.848484848	0.495825854	0	0.200023874	0.164841424	0.491638984	0.415781647	0.373799519	0.848484848	0.484236302	0	0.134391041	0.065077021	0.590379436	0.674005863	0.848484848	0.484236302	0	0.134391041	0.065077021	6.2768	2.9148	2.153423906	7.1659	0.8891	0.124073738	4.2306	1.3158	0.311019714	0.590379436	1.479923518
152154	MST	0.787878788	0.485625552	0	0.230645247	0.186166439	0.483238057	0.408540014	0.368870585	0.787878788	0.474274425	0	0.154964775	0.07349583	0.580291272	0.66226676	0.787878788	0.474274425	0	0.154964775	0.07349583	4.1213	2.1274	1.937247344	4.7035	0.5822	0.123780164	2.7294	0.602	0.220561296	0.580291272	1.034008932
152155	MST	0.636363636	0.400290623	0	0.376517913	0.250505008	0.242538922	0.209304466	0.302217224	0.636363636	0.390934135	0	0.252972973	0.09889577	0.29125028	0.339294528	0.636363636	0.390934135	0	0.252972973	0.09889577	3.4445	0.9224	3.734280139	4.0127	0.5682	0.141600419	1.1687	0.2463	0.210746984	0.29125028	0.433474129
152157	MST	0.545454545	0.315183634	0	0.181605083	0.095136465	0.10827132	0.097274912	0.191846566	0.545454545	0.307816457	0	0.122015915	0.037558507	0.130016461	0.157688204	0.545454545	0.307816457	0	0.122015915	0.037558507	5.8102	0.5504	10.55632267	7.0468	1.2366	0.175483908	0.9162	0.3658	0.399257804	0.130016461	0.295811095
152158	MST	0.727272727	0.436800206	0	0.298566728	0.216760227	0.191106139	0.167503943	0.291144281	0.727272727	0.426590334	0	0.20059952	0.085573816	0.229487771	0.271533484	0.727272727	0.426590334	0	0.20059952	0.085573816	3.6629	0.702	5.217806268	4.334	0.6711	0.154845408	0.9946	0.2926	0.294188619	0.229487771	0.436000596
